Transaction_ID,Transacton_Amt (USD),Merchant Category,Card Type,Authentication Method,Transaction Mode,Device Type,Is Foreign Transaction,Hours Since Last Transaction,Transactions Count (last 24hrs),Distance from home (Km),Card Age (Months),Customer Age,Customer Age Group,Account Balance (USD),New Merchant,VPN Used,IP Country Mismatch,Billing & Shipping Mismatch,CVV Retry Count,Velocity Score,Time of Day,Day of Week,AI Scam Attempt,Merchant Risk Score,Merchant Risk Level,Previous Disputes,Fraud Status
19,1055.74,Electronics,Visa,No Authentication,POS,iPhone,No,1-6 Hours,5,34.34,2–5 Years,54,46-60,5426.47,No,No,No,No,0,26.7,Morning (6 AM - 12 PM),Friday,No,53.8,Medium,0,Genuine
20,47.59,Restaurants,Visa,No Authentication,POS,Windows PC,No,Within 1 Hour,3,3.07,2–5 Years,32,26-35,1959.87,No,No,No,No,0,16.1,Afternoon (12 PM - 5 PM),Wednesday,No,5.3,Very Low,0,Genuine
21,66.04,Gaming,Mastercard,3D Secure,Online,ATM Machine,No,1-6 Hours,2,18.48,2–5 Years,41,36-45,1781.15,No,No,No,No,0,0,Evening (5 PM - 9 PM),Sunday,No,47.1,Medium,2,Genuine
22,106.72,Fuel,Mastercard,PIN,Contactless,Android Phone,No,6-12 Hours,2,4.78,2–5 Years,58,46-60,5382.7,No,No,No,No,0,12.6,Evening (5 PM - 9 PM),Friday,No,26.6,Low,0,Genuine
23,9.23,Restaurants,Mastercard,OTP,ATM,POS Terminal,No,12-24 Hours,2,8.85,2–5 Years,41,36-45,6912.96,No,No,No,No,0,9,Morning (6 AM - 12 PM),Monday,No,41.8,Medium,0,Genuine
24,57.64,Utilities,Visa,OTP,Online,POS Terminal,No,12-24 Hours,2,45.2,2–5 Years,24,18-25,1403.83,Yes,No,Yes,No,0,3.7,Afternoon (12 PM - 5 PM),Thursday,No,39.7,Low,0,Genuine
25,251.32,Crypto Exchange,Mastercard,3D Secure,Contactless,Windows PC,No,6-12 Hours,4,16.1,2–5 Years,70,61+,2008.91,No,No,No,No,0,13.8,Morning (6 AM - 12 PM),Saturday,No,100,Very High,1,Genuine
26,85.59,Online Retail,Visa,OTP,Online,iPhone,No,1-6 Hours,2,27.54,2–5 Years,41,36-45,1974.58,No,Yes,No,No,0,14.5,Early Morning (12 AM - 6 AM),Saturday,No,30.7,Low,0,Genuine
27,5.16,Gaming,Visa,PIN,Online,Smart Watch,No,Within 1 Hour,4,75.64,2–5 Years,38,36-45,25182.93,No,No,No,No,0,41.2,Afternoon (12 PM - 5 PM),Saturday,No,28.5,Low,0,Genuine
28,136.05,Healthcare,Mastercard,3D Secure,Online,Android Phone,No,1-2 Days,3,13.34,2–5 Years,60,46-60,333.32,Yes,Yes,No,No,1,8.5,Morning (6 AM - 12 PM),Thursday,No,48.1,Medium,1,Genuine
29,27.91,Healthcare,Mastercard,PIN,Contactless,POS Terminal,No,6-12 Hours,1,60.87,2–5 Years,44,36-45,3269.57,No,No,No,No,0,17.8,Early Morning (12 AM - 6 AM),Saturday,No,33.4,Low,0,Genuine
30,191.11,Groceries,Visa,3D Secure,In-App,iPhone,No,6-12 Hours,2,16.96,2–5 Years,52,46-60,5551.57,No,No,Yes,No,0,22.2,Afternoon (12 PM - 5 PM),Thursday,No,30.4,Low,1,Genuine
31,201.95,Online Retail,Visa,No Authentication,Online,Android Phone,No,1-6 Hours,5,52.28,2–5 Years,63,61+,2465.86,No,No,Yes,No,0,27.6,Afternoon (12 PM - 5 PM),Sunday,No,15,Very Low,0,Genuine
32,22.47,Online Retail,RuPay,OTP,POS,Mac,No,1-6 Hours,2,17.2,2–5 Years,70,61+,3732.72,No,No,No,No,0,14.3,Morning (6 AM - 12 PM),Friday,No,56.3,Medium,0,Genuine
33,87.68,Groceries,Amex,OTP,Online,Android Phone,No,Within 1 Hour,2,26.66,2–5 Years,18,18-25,1437.28,Yes,No,No,No,0,16.3,Morning (6 AM - 12 PM),Tuesday,No,26.9,Low,1,Genuine
34,295.9,Electronics,Mastercard,OTP,POS,iPhone,No,12-24 Hours,2,26.36,5+ Years,43,36-45,886.5,No,No,No,No,1,8.1,Morning (6 AM - 12 PM),Tuesday,No,57.9,Medium,0,Genuine
35,188.74,Online Retail,Visa,3D Secure,Online,Mac,No,12-24 Hours,4,45.73,2–5 Years,65,61+,7788.28,No,No,No,No,0,33.8,Afternoon (12 PM - 5 PM),Saturday,No,23.3,Low,0,Genuine
36,34.39,Fuel,RuPay,Biometric,Contactless,Android Phone,No,6-12 Hours,2,50.37,2–5 Years,73,61+,1362.91,No,No,No,No,0,16.4,Morning (6 AM - 12 PM),Thursday,No,32.1,Low,0,Genuine
37,48.63,Groceries,Mastercard,OTP,POS,iPhone,No,6-12 Hours,3,27.77,2–5 Years,75,61+,1653.57,Yes,No,No,No,0,15.8,Morning (6 AM - 12 PM),Tuesday,No,16.3,Very Low,0,Genuine
38,40.32,Gaming,Mastercard,OTP,In-App,Windows PC,No,1-6 Hours,1,9.7,2–5 Years,56,46-60,11433.99,Yes,No,No,No,0,10.6,Afternoon (12 PM - 5 PM),Friday,No,47.5,Medium,0,Genuine
39,37.79,Restaurants,RuPay,OTP,Contactless,Windows PC,No,Within 1 Hour,5,12.8,2–5 Years,51,46-60,875.88,No,No,No,No,0,52.2,Morning (6 AM - 12 PM),Wednesday,No,44.3,Medium,0,Genuine
40,15.98,Streaming,Visa,Biometric,POS,Android Phone,Yes,Within 1 Hour,2,38.32,2–5 Years,45,36-45,408.8,No,No,No,No,0,17.1,Morning (6 AM - 12 PM),Wednesday,No,28.5,Low,0,Genuine
41,19.92,Utilities,Mastercard,Biometric,POS,Windows PC,No,1-6 Hours,3,14.68,2–5 Years,53,46-60,9377.78,Yes,No,No,No,0,30.1,Evening (5 PM - 9 PM),Wednesday,No,28.3,Low,1,Genuine
42,138.01,Utilities,Visa,OTP,POS,Android Phone,No,1-2 Days,1,11.1,2–5 Years,77,61+,839.48,Yes,No,No,No,1,0,Early Morning (12 AM - 6 AM),Monday,No,17.7,Very Low,0,Genuine
43,13.39,Gift Cards,Visa,Biometric,Contactless,POS Terminal,No,1-6 Hours,7,2.15,2–5 Years,72,61+,330.99,No,No,No,No,0,33.5,Evening (5 PM - 9 PM),Monday,No,100,Very High,0,Genuine
44,43.63,Online Retail,Mastercard,No Authentication,Online,POS Terminal,No,6-12 Hours,3,4.52,5+ Years,39,36-45,14776.49,No,No,No,No,0,13.1,Morning (6 AM - 12 PM),Wednesday,No,17.9,Very Low,1,Genuine
45,137.02,Electronics,Visa,OTP,Online,Tablet,No,Within 1 Hour,6,0.38,2–5 Years,70,61+,2676.61,Yes,No,No,No,0,43.4,Morning (6 AM - 12 PM),Thursday,No,48,Medium,0,Genuine
46,16.14,Streaming,Mastercard,OTP,POS,POS Terminal,No,6-12 Hours,3,33.25,2–5 Years,59,46-60,336.99,Yes,No,No,No,0,20.4,Early Morning (12 AM - 6 AM),Friday,No,22.5,Low,0,Genuine
47,2.65,Streaming,Mastercard,PIN,ATM,iPhone,No,1-2 Days,2,6.74,2–5 Years,31,26-35,1788.58,No,No,No,No,0,16.3,Afternoon (12 PM - 5 PM),Friday,No,19.7,Very Low,0,Genuine
48,151.14,Restaurants,Visa,OTP,Online,Android Phone,No,6-12 Hours,4,28.97,2–5 Years,67,61+,788.84,No,No,No,No,0,16.6,Early Morning (12 AM - 6 AM),Wednesday,No,31.5,Low,0,Genuine
49,16.97,Restaurants,Mastercard,No Authentication,In-App,Android Phone,No,6-12 Hours,6,94.27,2–5 Years,57,46-60,373.03,No,No,No,No,0,48.7,Afternoon (12 PM - 5 PM),Wednesday,No,22.9,Low,2,Genuine
50,59.53,Utilities,Mastercard,PIN,Online,iPhone,No,6-12 Hours,2,75.73,2–5 Years,67,61+,565.75,No,No,No,No,0,22.9,Early Morning (12 AM - 6 AM),Monday,No,36.8,Low,1,Genuine
51,91.5,Electronics,Mastercard,3D Secure,ATM,Android Phone,No,1-6 Hours,7,16.01,2–5 Years,78,61+,1658.5,No,No,No,No,0,41.8,Afternoon (12 PM - 5 PM),Wednesday,No,44.9,Medium,1,Genuine
52,60.93,Groceries,Visa,No Authentication,In-App,POS Terminal,No,1-6 Hours,3,21.91,2–5 Years,75,61+,11119.01,Yes,No,No,No,1,14.7,Early Morning (12 AM - 6 AM),Wednesday,No,35.8,Low,0,Genuine
53,55.33,Groceries,Mastercard,3D Secure,POS,iPhone,No,1-2 Days,4,6.51,2–5 Years,36,36-45,5403.65,Yes,No,No,No,2,18,Afternoon (12 PM - 5 PM),Tuesday,No,17.2,Very Low,0,Genuine
54,225.01,Groceries,Mastercard,3D Secure,ATM,Tablet,No,12-24 Hours,4,35.61,2–5 Years,75,61+,2010.91,No,No,No,Yes,0,26.7,Morning (6 AM - 12 PM),Monday,No,46,Medium,0,Genuine
55,120.75,Electronics,Mastercard,PIN,Online,Windows PC,No,6-12 Hours,2,62.81,2–5 Years,68,61+,1495.08,No,No,No,No,0,9.2,Night (9 PM - 12 AM),Friday,No,80.5,Very High,0,Genuine
56,13.71,Gaming,Mastercard,No Authentication,In-App,POS Terminal,No,1-6 Hours,0,33.83,2–5 Years,43,36-45,2926.2,No,No,No,No,0,0,Evening (5 PM - 9 PM),Friday,No,55.1,Medium,0,Genuine
57,29.67,Groceries,Mastercard,3D Secure,Online,Android Phone,No,1-6 Hours,5,9.21,2–5 Years,48,46-60,1451.52,Yes,No,No,No,0,19.9,Morning (6 AM - 12 PM),Thursday,No,30.9,Low,0,Genuine
58,4.01,Groceries,Visa,Biometric,Online,iPhone,No,12-24 Hours,2,23.61,2–5 Years,54,46-60,1502.5,No,No,No,No,0,7.8,Afternoon (12 PM - 5 PM),Wednesday,No,47.4,Medium,0,Genuine
59,92.3,Electronics,Visa,3D Secure,Contactless,iPhone,No,6-12 Hours,7,10,2–5 Years,24,18-25,1511.28,No,No,No,No,0,43.3,Evening (5 PM - 9 PM),Friday,No,65.2,High,0,Genuine
60,78.63,Healthcare,Amex,OTP,Online,Android Phone,No,Within 1 Hour,3,12.51,2–5 Years,40,36-45,347.46,Yes,No,No,No,1,21.4,Early Morning (12 AM - 6 AM),Wednesday,No,44.4,Medium,2,Genuine
61,95.27,Gaming,Mastercard,3D Secure,Online,Windows PC,No,6-12 Hours,3,12.35,2–5 Years,21,18-25,1654.1,No,No,No,No,1,21.5,Morning (6 AM - 12 PM),Monday,No,51.6,Medium,0,Genuine
62,45.09,Groceries,Visa,PIN,Online,Windows PC,No,1-6 Hours,3,13.65,2–5 Years,47,46-60,2927.43,No,No,No,No,0,15.6,Morning (6 AM - 12 PM),Wednesday,No,21.2,Low,0,Genuine
63,3.43,Streaming,Mastercard,No Authentication,ATM,Tablet,No,12-24 Hours,1,33.08,2–5 Years,25,18-25,2222.77,No,No,No,No,0,11.9,Afternoon (12 PM - 5 PM),Saturday,No,31.2,Low,0,Genuine
64,2396.82,Crypto Exchange,Visa,OTP,ATM,Mac,No,1-6 Hours,3,15.8,2–5 Years,23,18-25,2611.03,Yes,No,No,No,1,11.3,Early Morning (12 AM - 6 AM),Friday,No,92,Very High,0,Fraud
65,135.46,Groceries,RuPay,3D Secure,ATM,iPhone,No,Within 1 Hour,3,7.06,2–5 Years,43,36-45,213.06,No,No,No,No,0,17.7,Afternoon (12 PM - 5 PM),Saturday,No,41.7,Medium,0,Genuine
66,73.77,Online Retail,Discover,Biometric,POS,Smart Watch,No,6-12 Hours,5,4.65,2–5 Years,46,46-60,2566.73,No,No,Yes,No,0,26,Afternoon (12 PM - 5 PM),Wednesday,No,34,Low,1,Genuine
67,107.53,Healthcare,Visa,3D Secure,ATM,Android Phone,No,1-6 Hours,3,0.07,2–5 Years,68,61+,707.51,No,Yes,No,No,0,20.2,Early Morning (12 AM - 6 AM),Saturday,No,58.5,Medium,0,Genuine
68,12.71,Utilities,Visa,3D Secure,In-App,Android Phone,No,12-24 Hours,3,41.23,2–5 Years,27,26-35,1995.08,No,No,No,No,0,4.7,Evening (5 PM - 9 PM),Saturday,No,18.3,Very Low,0,Genuine
69,42.68,Online Retail,Mastercard,OTP,Online,POS Terminal,No,1-6 Hours,4,30.68,2–5 Years,54,46-60,2269.14,No,No,No,No,0,32.1,Early Morning (12 AM - 6 AM),Wednesday,No,22.6,Low,0,Genuine
70,76.3,Crypto Exchange,Visa,3D Secure,In-App,Android Phone,Yes,6-12 Hours,4,10.19,2–5 Years,35,26-35,4932.58,Yes,No,No,No,0,18.5,Evening (5 PM - 9 PM),Saturday,No,83,Very High,0,Genuine
71,30.59,Restaurants,Mastercard,Biometric,Online,Mac,No,1-6 Hours,4,8.04,2–5 Years,30,26-35,2645.36,No,No,No,No,3,17.1,Morning (6 AM - 12 PM),Wednesday,No,37.3,Low,1,Genuine
72,161.52,Crypto Exchange,Visa,PIN,ATM,POS Terminal,No,Within 1 Hour,4,8.05,5+ Years,61,61+,1569.02,No,No,No,No,0,41.2,Night (9 PM - 12 AM),Saturday,No,74.1,High,0,Genuine
73,102.95,Crypto Exchange,Amex,3D Secure,Online,Android Phone,No,6-12 Hours,3,20.81,2–5 Years,48,46-60,4294.61,No,No,No,No,0,7.5,Afternoon (12 PM - 5 PM),Tuesday,No,86.4,Very High,0,Genuine
74,106,Utilities,Discover,No Authentication,POS,iPhone,No,1-6 Hours,2,17.76,2–5 Years,78,61+,3470.51,Yes,Yes,No,No,1,19.2,Morning (6 AM - 12 PM),Sunday,No,35.7,Low,1,Genuine
75,21.23,Fuel,RuPay,Biometric,Online,Android Phone,No,1-6 Hours,2,38.78,2–5 Years,74,61+,593.62,No,No,No,No,0,10.2,Early Morning (12 AM - 6 AM),Friday,No,0,Very Low,0,Genuine
76,855.46,Travel,Mastercard,3D Secure,Online,Mac,No,1-6 Hours,3,12.89,2–5 Years,56,46-60,9550.83,No,No,No,No,0,44.4,Early Morning (12 AM - 6 AM),Wednesday,No,43.8,Medium,2,Genuine
77,78.11,Online Retail,Visa,No Authentication,POS,Tablet,No,6-12 Hours,3,27.15,2–5 Years,80,61+,3246.87,No,No,No,No,1,30,Early Morning (12 AM - 6 AM),Thursday,No,15.8,Very Low,0,Genuine
78,345.22,Groceries,RuPay,3D Secure,Online,Mac,No,1-6 Hours,1,41.43,2–5 Years,68,61+,2188.51,Yes,No,No,No,0,16.3,Evening (5 PM - 9 PM),Saturday,No,38,Low,0,Genuine
79,86.26,Restaurants,Visa,3D Secure,Contactless,Android Phone,No,Within 1 Hour,4,74.78,2–5 Years,21,18-25,3970.56,No,No,No,No,0,34.3,Evening (5 PM - 9 PM),Saturday,No,41.5,Medium,0,Genuine
80,381.32,Travel,Visa,3D Secure,In-App,POS Terminal,No,6-12 Hours,2,18.39,2–5 Years,63,61+,1892.41,Yes,No,No,No,0,19.6,Morning (6 AM - 12 PM),Sunday,No,14.7,Very Low,0,Genuine
81,265.04,Crypto Exchange,Visa,Biometric,Contactless,iPhone,Yes,12-24 Hours,2,5.45,2–5 Years,77,61+,2204.69,No,No,No,No,0,17.5,Evening (5 PM - 9 PM),Monday,No,84.9,Very High,0,Genuine
82,275.29,Electronics,Mastercard,3D Secure,Online,Tablet,No,1-6 Hours,4,31.47,2–5 Years,80,61+,733.08,No,No,No,No,0,19.9,Early Morning (12 AM - 6 AM),Saturday,No,74.1,High,3,Genuine
83,52.33,Online Retail,Mastercard,PIN,Contactless,Windows PC,No,6-12 Hours,5,36.31,2–5 Years,44,36-45,1675.75,Yes,No,No,No,0,29.2,Afternoon (12 PM - 5 PM),Thursday,No,46.4,Medium,0,Genuine
84,13.57,Online Retail,Visa,PIN,POS,Android Phone,No,1-6 Hours,3,11.88,2–5 Years,55,46-60,5071.81,No,No,No,No,1,23.1,Evening (5 PM - 9 PM),Sunday,No,29.6,Low,0,Genuine
85,44.24,Restaurants,Visa,No Authentication,ATM,Tablet,No,1-6 Hours,2,7.23,2–5 Years,34,26-35,1329.28,No,No,No,No,0,17,Early Morning (12 AM - 6 AM),Monday,No,11.6,Very Low,0,Genuine
86,37.89,Restaurants,Mastercard,PIN,POS,POS Terminal,No,6-12 Hours,5,6.63,2–5 Years,29,26-35,892.98,No,No,No,No,1,25.3,Early Morning (12 AM - 6 AM),Tuesday,No,37.7,Low,0,Genuine
87,47.09,Electronics,Mastercard,Biometric,Online,POS Terminal,No,12-24 Hours,4,19.19,2–5 Years,71,61+,3079.87,No,No,No,No,0,18,Evening (5 PM - 9 PM),Thursday,No,39.9,Low,0,Genuine
88,23.78,Online Retail,Mastercard,3D Secure,Online,Windows PC,No,Within 1 Hour,3,44,2–5 Years,51,46-60,2377.57,No,No,No,No,1,45.6,Night (9 PM - 12 AM),Saturday,Yes,28,Low,0,Genuine
89,30.3,Streaming,Mastercard,3D Secure,POS,iPhone,No,1-6 Hours,2,10.35,2–5 Years,22,18-25,3017.34,No,No,No,No,1,0.4,Night (9 PM - 12 AM),Friday,No,36.3,Low,0,Genuine
90,86,Groceries,RuPay,Biometric,POS,Android Phone,Yes,6-12 Hours,6,50.04,2–5 Years,56,46-60,4507.57,No,No,No,No,0,30.1,Night (9 PM - 12 AM),Wednesday,No,21,Low,0,Genuine
91,134.57,Gift Cards,RuPay,3D Secure,POS,iPhone,No,12-24 Hours,7,7.4,2–5 Years,25,18-25,2202.5,No,No,No,No,0,26.9,Afternoon (12 PM - 5 PM),Thursday,No,77.3,High,0,Genuine
92,13.69,Utilities,Visa,No Authentication,In-App,POS Terminal,No,6-12 Hours,2,109.7,2–5 Years,19,18-25,2799.4,No,No,No,No,1,14.5,Night (9 PM - 12 AM),Monday,No,13.6,Very Low,0,Genuine
93,6.41,Gaming,RuPay,Biometric,POS,Android Phone,No,1-6 Hours,0,0.43,2–5 Years,80,61+,635.23,No,No,No,No,1,7.6,Afternoon (12 PM - 5 PM),Friday,No,67.2,High,0,Genuine
94,7.52,Fuel,Amex,Biometric,Online,Android Phone,No,6-12 Hours,3,1.4,2–5 Years,69,61+,953.74,No,No,No,No,0,18.1,Afternoon (12 PM - 5 PM),Thursday,No,41.6,Medium,0,Genuine
95,69.2,Travel,Mastercard,PIN,POS,Android Phone,No,1-2 Days,3,23.08,2–5 Years,38,36-45,2246.11,No,No,No,No,0,14.2,Morning (6 AM - 12 PM),Wednesday,No,25.8,Low,0,Genuine
96,205.73,Online Retail,Mastercard,PIN,Contactless,Tablet,No,1-6 Hours,1,14.59,2–5 Years,44,36-45,177.32,No,No,No,No,0,0,Afternoon (12 PM - 5 PM),Monday,No,14.5,Very Low,1,Genuine
97,71.63,Fuel,Mastercard,3D Secure,Online,Tablet,No,6-12 Hours,4,35.85,2–5 Years,46,46-60,482.57,Yes,Yes,No,Yes,0,30.3,Night (9 PM - 12 AM),Monday,No,44.5,Medium,1,Genuine
98,15.26,Streaming,RuPay,3D Secure,In-App,iPhone,No,6-12 Hours,6,8.79,2–5 Years,28,26-35,3901.84,No,No,No,No,0,34.7,Early Morning (12 AM - 6 AM),Wednesday,No,38,Low,0,Genuine
99,10.67,Gaming,Visa,OTP,In-App,Android Phone,No,6-12 Hours,7,19.22,2–5 Years,36,36-45,8939.89,No,No,No,No,0,34.1,Afternoon (12 PM - 5 PM),Monday,No,74.4,High,0,Genuine
100,27.33,Fuel,Mastercard,3D Secure,POS,Android Phone,No,1-6 Hours,2,6.8,2–5 Years,30,26-35,258.83,No,No,No,No,0,28.4,Afternoon (12 PM - 5 PM),Saturday,No,15.1,Very Low,0,Genuine
101,14.53,Groceries,Amex,3D Secure,Online,Mac,No,12-24 Hours,2,39.39,2–5 Years,35,26-35,9117.21,No,No,No,No,0,7.1,Morning (6 AM - 12 PM),Wednesday,No,50,Medium,0,Genuine
102,62.07,Fuel,Visa,PIN,ATM,POS Terminal,No,1-6 Hours,2,0.22,2–5 Years,21,18-25,6579.5,No,No,No,No,0,13,Morning (6 AM - 12 PM),Saturday,No,10.1,Very Low,0,Genuine
103,238.05,Online Retail,Mastercard,Biometric,Online,Android Phone,No,12-24 Hours,4,82.06,2–5 Years,67,61+,2164.54,No,No,No,No,1,8.6,Early Morning (12 AM - 6 AM),Wednesday,No,29.4,Low,1,Genuine
104,34.92,Online Retail,Visa,OTP,Contactless,iPhone,No,Within 1 Hour,5,36.24,2–5 Years,48,46-60,3093.51,No,No,No,No,1,33,Morning (6 AM - 12 PM),Thursday,No,39.8,Low,0,Genuine
105,45.18,Online Retail,Amex,PIN,POS,Tablet,No,6-12 Hours,6,14.29,2–5 Years,79,61+,2610.27,No,No,No,No,0,16.1,Early Morning (12 AM - 6 AM),Thursday,No,37.7,Low,0,Genuine
106,110.12,Electronics,Visa,Biometric,Contactless,POS Terminal,No,12-24 Hours,1,4.92,2–5 Years,42,36-45,9001.9,No,No,No,No,0,8.2,Afternoon (12 PM - 5 PM),Friday,No,55.4,Medium,0,Genuine
107,5.69,Fuel,Mastercard,Biometric,ATM,Android Phone,No,6-12 Hours,3,34.4,2–5 Years,36,36-45,4228.73,No,No,No,No,1,10.3,Afternoon (12 PM - 5 PM),Tuesday,No,36.6,Low,0,Genuine
108,60.07,Online Retail,Amex,3D Secure,Online,POS Terminal,No,6-12 Hours,7,32.93,2–5 Years,19,18-25,534.42,No,Yes,No,No,0,20.7,Morning (6 AM - 12 PM),Thursday,No,17.2,Very Low,0,Genuine
109,47.82,Restaurants,Mastercard,PIN,POS,Android Phone,No,12-24 Hours,3,16.57,2–5 Years,18,18-25,2893.69,No,No,No,No,0,18,Early Morning (12 AM - 6 AM),Saturday,No,34.5,Low,1,Genuine
110,31.57,Utilities,Visa,No Authentication,POS,POS Terminal,No,12-24 Hours,4,2.71,2–5 Years,38,36-45,3105.53,No,Yes,No,No,0,23.2,Morning (6 AM - 12 PM),Tuesday,No,23.3,Low,0,Genuine
111,15.84,Online Retail,Mastercard,3D Secure,Online,iPhone,No,12-24 Hours,3,2.12,2–5 Years,70,61+,3031.77,Yes,No,No,No,0,32.6,Afternoon (12 PM - 5 PM),Monday,No,17.7,Very Low,0,Genuine
112,431.97,Electronics,Visa,3D Secure,Online,POS Terminal,No,1-6 Hours,2,10.13,2–5 Years,31,26-35,1157.76,No,No,No,No,0,16.7,Early Morning (12 AM - 6 AM),Thursday,No,24.4,Low,0,Genuine
113,33.22,Online Retail,Mastercard,PIN,In-App,POS Terminal,No,6-12 Hours,2,12.59,2–5 Years,20,18-25,6528.16,No,No,No,No,0,4.6,Afternoon (12 PM - 5 PM),Wednesday,No,46.1,Medium,0,Genuine
114,170,Gift Cards,Visa,Biometric,Online,iPhone,No,6-12 Hours,5,15.24,2–5 Years,60,46-60,597.5,No,No,No,Yes,1,28.9,Afternoon (12 PM - 5 PM),Wednesday,No,73.4,High,0,Genuine
115,211.49,Utilities,Visa,No Authentication,Online,iPhone,No,6-12 Hours,4,34.01,2–5 Years,19,18-25,320.76,No,No,No,Yes,0,25.2,Morning (6 AM - 12 PM),Friday,No,21.9,Low,0,Genuine
116,8.42,Gaming,Visa,No Authentication,POS,Windows PC,No,1-6 Hours,6,29.24,2–5 Years,34,26-35,4895.52,No,No,No,No,0,29.2,Evening (5 PM - 9 PM),Friday,No,52.4,Medium,0,Genuine
